15-30K·16薪,"测试开发工程师
杭州·滨江区·长河
15-30K·16薪
在校/应届硕士
崔先生测试开发专家",杭州·滨江区·长河
18-25K·14薪,"【校招/实习】服务研发工程师(J5LFP)
北京
18-25K·14薪
在校/应届本科
董女士HRBP",北京
15-21K,"Java开发工程师-校招 (MJ000576)
北京
15-21K
在校/应届学历不限
张女士招聘",北京
16-30K,"数据分析师
上海·浦东新区·金桥
16-30K
在校/应届本科
方女士HR Manager",上海·浦东新区·金桥
13-25K·14薪,"产品经理
珠海·香洲区·唐家湾
13-25K·14薪
在校/应届本科
王女士招聘专员",珠海·香洲区·唐家湾
12-24K,"Java/Android工程师
杭州·下城区·建国路
12-24K
在校/应届本科
陈先生招聘员",杭州·下城区·建国路
15-25K·15薪,"服务端开发工程师-Java（2021春招）
上海·徐汇区·徐家汇
15-25K·15薪
在校/应届本科
秦女士hr",上海·徐汇区·徐家汇
12-24K,"后端开发工程师
上海·闵行区·虹桥
12-24K
在校/应届本科
李先生测试开发工程师",上海·闵行区·虹桥
15-30K·15薪,"智能语音对话平台开发Java
北京
15-30K·15薪
在校/应届本科
张先生对话平台开发专家",北京
15-25K,"nlp工程师
北京·海淀区·西三旗
15-25K
在校/应届本科
夏女士招聘专员",北京·海淀区·西三旗
30-50K·13薪,"阿里巴巴-高德地图-共享出行算法2022校招
北京·朝阳区·望京
30-50K·13薪
在校/应届本科
陶女士算法专家",北京·朝阳区·望京
11-22K·14薪,"嵌入式软件开发工程师
杭州·滨江区·浦沿
11-22K·14薪
在校/应届本科
王先生技术主管",杭州·滨江区·浦沿
15-30K·14薪,"SLAM算法工程师
上海·浦东新区·金桥
15-30K·14薪
在校/应届本科
王先生招聘经理",上海·浦东新区·金桥
20-40K,"前端开发工程师
广州
20-40K
在校/应届本科
姚先生招聘者",广州
20-35K·16薪,"【校招】Java开发工程师
北京·朝阳区·太阳宫
20-35K·16薪
在校/应届本科
B女士校园招聘",北京·朝阳区·太阳宫
25-50K,"机器学习算法工程师
上海
25-50K
在校/应届本科
黄女士HRBP",上海
20-30K·16薪,"web前端
杭州·西湖区·黄龙
20-30K·16薪
在校/应届本科
张先生前端开发工程师",杭州·西湖区·黄龙
12-23K·14薪,"游戏客户端开发（C/C++/C#校招）
北京·海淀区·西三旗
12-23K·14薪
在校/应届硕士
黄女士HRBP",北京·海淀区·西三旗
17-28K,"运维开发工程师
北京
17-28K
在校/应届本科
王女士HRBP",北京
20-30K·16薪,"2022届毕业生 后端研发
北京·朝阳区·团结湖
20-30K·16薪
在校/应届本科
唐先生技术专家",北京·朝阳区·团结湖
15-30K,"测试工程师
东莞·松山湖
15-30K
在校/应届本科
张先生招聘者",东莞·松山湖
25-50K·16薪,"游戏内容高级语音研究员
上海·徐汇区·漕河泾
25-50K·16薪
在校/应届博士
孙先生专家总监",上海·徐汇区·漕河泾
